id_usuario,direccion_estacion_origen,direccion_estacion_destino,duracion_recorrido,distancia,dia
164253,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",1590 Lavalle,1709,2895.05,Sábado
66950,2080 Austria,1590 Lavalle,3207,2128.6,Martes
299514,Bartolome Mitre & Av. Puyrredon,1590 Lavalle,892,1713,Martes
463200,2516 Pereyra Lucena,2516 Pereyra Lucena,7750,0,Sábado
463200,3051 San Martin De Tours,2516 Pereyra Lucena,4546,757.61,Lunes
508978,3051 San Martin De Tours,2516 Pereyra Lucena,4865,757.61,Lunes
172209,"1520 Billinghurst & Mansilla, Lucio Norberto, General","Uriburu Jose E., Pres. & Paraguay",758,1351.14,Miércoles
18702,519 Pasteur,"Uriburu Jose E., Pres. & Paraguay",316,547.13,Martes
299514,"441 Bulnes & Peron, Juan Domingo, Tte. General","Uriburu Jose E., Pres. & Paraguay",1366,2014.39,Lunes
37803,Marcelo T. de Alvear & Rodriguez Peña,"Uriburu Jose E., Pres. & Paraguay",368,677.02,Miércoles
222236,Av. Gaona 2200,Av. Gaona 2200,3269,0,Domingo
234744,1785 Espinosa,Av. Gaona 2200,1555,1099.44,Martes
234744,"1540 Garcia, Juan Agustin",Av. Gaona 2200,1057,1467.17,Lunes
234744,"1540 Garcia, Juan Agustin",Av. Gaona 2200,1334,1467.17,Viernes
234744,"1540 Garcia, Juan Agustin",Av. Gaona 2200,1472,1467.17,Martes
525584,Culpina 121,Av. Gaona 2200,1293,2120.6,Domingo
460847,Triunvirato Av. & Roosevelt Franklin D. Av.,Tronador y Garcia del Rio,2522,2144.56,Sábado
374441,Olleros Av. & Del Libertador Av.,"1798 Matienzo, Benjamin, Teniente",407,593.24,Miércoles
374441,Av. Sarmiento 2601,"1798 Matienzo, Benjamin, Teniente",998,1810.26,Viernes
374441,Av. Sarmiento 2601,"1798 Matienzo, Benjamin, Teniente",743,1810.26,Jueves
374441,Vuelta de Obligado 2004,"1798 Matienzo, Benjamin, Teniente",901,2031.84,Lunes
374441,Amenabar y Mendoza,"1798 Matienzo, Benjamin, Teniente",1126,2368.42,Lunes
41766,Bartolome Mitre & Av. Puyrredon,1078 Gurruchaga,1756,3207.3,Jueves
536427,"Saenz Peña 938, Roque, Pres. Diagonal Norte Av. & Suipacha","Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.",3728,8003.01,Domingo
172047,"Santa Fe Av. & Bullrich, Int. Av.","Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.",911,2808.74,Lunes
508897,2001 Donado,"Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.",1060,2855.72,Martes
508897,2001 Donado,"Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.",863,2855.72,Viernes
515826,Av. Gaona 2200,2502 Galicia,1317,1185.16,Martes
373567,561 Uruguay & Av. Tucuman,561 Uruguay & Av. Tucuman,2863,0,Martes
536427,"3024 Calvo, Carlos","Suipacha & Viamonte, 709",1868,3545.06,Viernes
580033,"1798 Matienzo, Benjamin, Teniente",3822 Guemes,1223,2688.63,Martes
40998,80 Larrea,3822 Guemes,1404,2726.67,Martes
83670,Olleros Av. & Del Libertador Av.,"Santa Fe Av. & Bullrich, Int. Av.",869,1784.49,Sábado
172047,2001 Donado,"Santa Fe Av. & Bullrich, Int. Av.",1682,4443.79,Lunes
579553,Santa Fe Av. & Dorrego,Santa Fe Av. & Dorrego,2126,0,Miércoles
382807,"Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.",Santa Fe Av. & Dorrego,1562,2128.01,Martes
239665,2516 Pereyra Lucena,Av. Sarmiento 2601,1102,1855.77,Lunes
362127,"1701 Fernandez Moreno, Baldomero","Delgado & Loreto, Virrey",4559,6303.58,Sábado
508897,2001 Donado,"Delgado & Loreto, Virrey",890,1600.36,Miércoles
508897,2001 Donado,"Delgado & Loreto, Virrey",854,1600.36,Miércoles
374441,2786 Montañeses,Olleros Av. & Del Libertador Av.,783,2144.42,Martes
374441,Amenabar y Mendoza,Olleros Av. & Del Libertador Av.,984,2115.4,Viernes
131470,"Ramos Mejia, Av Dr Jose Maria Vargas& Av. Del Libertador","Ramos Mejia, Av Dr Jose Maria Vargas& Av. Del Libertador",1260,0,Lunes
172209,3822 Guemes,Mexico 1652,1746,3947.36,Martes
310414,2939 Cavia,1350 Posadas,1225,2385.07,Jueves
207992,Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera,1350 Posadas,1113,2254.09,Domingo
355796,3050 Ugarteche,1350 Posadas,622,2614.53,Miércoles
355796,Guemes 3330 & Coronel Diaz,3050 Ugarteche,2,1050.66,Sábado
355796,Godoy Cruz  3279 y Libertador,3050 Ugarteche,408,1189.44,Jueves
355796,238 Pichincha,3050 Ugarteche,1106,3730.21,Jueves
